1girl,一人の女の子
cape_lift,マントの裾を上げる
alraune,アルラウネ
hymen,処女膜
transformers_prime,トランスフォーマー プライム
snk_heroines:_tag_team_frenzy,SNKヒロインズ TAG TEAM FRONTIER
strawberry_blossoms,イチゴの花
lorelei_(pokemon),メロディ
white_gemstone,白い宝石
fender_jazzmaster,フェンダー ジャズマスター
nelson_(azur_lane),ネルソン(アズールレーン)
mina_(blue_archive),ミナ(ブルーアーカイブ)
akatsuki_uni,アカツキ・ユニ
dying_message,死に際のメッセージ
tentaclejob,触手責め
wakasa_yuuri,若狭優里
xenoblade_chronicles_x,ゼノブレイドクロス
gazer_(monster_girl_encyclopedia),ゲイザー(モンスター娘図鑑)
uguisumaru,鶯丸
ashelia_b'nargin_dalmasca,アーシェ・バナルガン・ダルマスカ
birthday_party,誕生日パーティー
coach,コーチ
harmony_(splatoon),ヒメ(スプラトゥーン)
incoming_pocky_kiss,ポッキーキスの予感
constriction,締め付け
connected_beard,繋がった髭
kumano_kai_ni_(kancolle),熊野改二(艦これ)
momone_momo,百音モモ
stairwell,階段
impact_(font),インパクト(フォント)
udagawa_ako,宇田川あこ
chansey,ハピナス
holding_screwdriver,ドライバーを持つ
saori_(swimsuit)_(blue_archive),沙織(水着)(ブルーアーカイブ)
muffet,マフェット
single_wide_sleeve,片袖広袖
hatenna,テブリム
mooncake,月餅
takaramonozu,宝物
inaba_meguru,因幡めぐる
deedlit,ディードリット
gouenji_shuuya,豪炎寺修也
starry_moon,星空と月
abigail_williams_(festival_outfit)_(fate),アビゲイル・ウィリアムズ(お祭り衣装)(Fate)
last_period,Last Period
kos-mos_ver._4,KOS-MOS Ver.4
prier,プリエ
pumpkin_costume,カボチャのコスチューム
miyamoto_musashi_(first_ascension)_(fate),宮本武蔵(第一再臨)(Fate)
fur-trimmed_vest,毛皮の縁取りベスト
sea_turtle,ウミガメ
half_crown_braid,ハーフクラウン編み
professor_(ragnarok_online),プリースト(ラグナロクオンライン)
capitano_(genshin_impact),総督(原神)
safari_jacket,サファリジャケット
ajaw_(genshin_impact),アイジャウ(原神)
ankh_necklace,アンクレットネックレス
butterfly_choker,蝶のチョーカー
richter_belmont,リヒター・ベルモンド
sword_maiden,ソードメイデン
no_emblem,エンブレムなし
cure_macaron,キュアマカロン
playstation_4,PlayStation 4
santa_alter,サンタアルトリア
tickling_legs,足をくすぐる
marui_hitoha,丸井ひと葉
vyn_richter_(tears_of_themis),ルカ・バルト(Tears of Themis)
tickling_stomach,腹をくすぐる
no_headgear,ヘッドギアなし
dart,ダーツ
makkachin,マッカチン
kagamine_rin_(append),鏡音リン(Append)
cure_yell,キュアエール
triad_primus_(idolmaster),トライアドプリムス(アイドルマスター)
anceril_sacred,アンセリル・セイクリッド
ugoira_conversion,うごイラ変換
tamagotchi_(virtual_pet),たまごっち(バーチャルペット)
st._michael's_school_uniform,聖ミカエル学園制服
fal_(girls'_frontline),FAL(ドールズフロントライン)
amairo_islenauts,あまいろいすれなーつ
hair_wings,髪の翼
digital_walkman,デジタルウォークマン
gradient_border,グラデーションの境界線
saber_alter_(final_ascension),セイバー・オルタ(最終再臨)
dick_gumshoe,ディック・ガムシュー
kasumi_kai_ni_(swimsuit_mode)_(kancolle),霞改二(水着モード)(艦これ)
marida_cruz,マリダ・クルス
bokusatsu_tenshi_dokuro-chan,撲殺天使ドクロちゃん
mulberry_(arknights),マルベリー(アークナイツ)
casca_(berserk),キャスカ(ベルセルク)
ayase_fuuka,綾瀬風香
florina_(fire_emblem),フロール(ファイアーエムブレム)
prinz_eugen_(final_lap)_(azur_lane),プリンツ・オイゲン(最終ラップ)(アズールレーン)
holding_rocket_launcher,ロケットランチャーを持つ
wiping_blood,血を拭う
sword_print,剣のプリント
paint_stains,ペンキの染み
souza_samonji,宗左左文字
webbed_feet,水かきのある足
charlotte_aulin,シャルロッテ・オーリン
florence_nightingale_(fate)_(cosplay),ナイチンゲール(Fate)(コスプレ)
armless_amputee,腕のない切断者
vespa,ベスパ
rabbit_ear_headphones,うさぎ耳ヘッドフォン
oosawa_aya,大澤彩
bunny_garden,バニーガーデン
sanshuu_middle_school_uniform,三秋中学校制服
polka_dot_necktie,水玉ネクタイ
kissing_hair,髪にキス
bent_v,V字
azumi_(girls_und_panzer),あずみ(ガールズ＆パンツァー)
companion/af,仲間/AF
nymph_(sora_no_otoshimono),ニンフ(そらのおとしもの)
insect_cage,昆虫ケージ
houston_(kancolle),ヒューストン(艦これ)
ppk_(girls'_frontline),PPK(ドールズフロントライン)
size_comparison,サイズ比較
tsukimi,月見
nier_reincarnation,NieR Re[in]carnation
zas_m21_(girls'_frontline),ZAS M21(ドールズフロントライン)
reeds,葦
king_(vocaloid),KING
joker_(dc),ジョーカー(DC)
goldfish_scooping,金魚すくい
sof_(blue_archive),ソフィ(ブルーアーカイブ)
ursula_hartmann,ウルズラ・ハルトマン
lord_of_heroes,ロードオブヒーローズ
mujina,ムジナ
string_phone,糸電話
banana_(girls'_frontline),バナナ(ドールズフロントライン)
danball_senki,ダンボール戦機
white_album_2,WHITE ALBUM2
lynn_minmay,リン・ミンメイ
seyren_windsor,セイレン・ウィンザー
food_as_clothes,食べ物でできた服
matsunaga_ryo,松永涼
dobermann,ドーベルマン
aurochs_(kemono_friends),オーロックス(けものフレンズ)
transformer,トランスフォーマー
wagon,ワゴン
omake,おまけ
washing_another,他者を洗う
small_stellated_dodecahedron,小星型十二面体
maid_cafe,メイドカフェ
in_shopping_cart,ショッピングカートの中
big_bad_wolf_(cosplay),ビッグ・バッド・ウルフ(コスプレ)
medium_request,媒体リクエスト
blood_on_body,体についた血
cockroach_girl,ゴキブリ娘
quattro_bajeena,クワトロ・バジーナ
modeling,モデル
rabbit_earrings,うさぎ耳イヤリング
cthulhu,クトゥルフ
lysandre_(pokemon),フラダリ
knights_of_the_round_uniform,円卓の騎士団制服
c_(control),C -CONTROL-
basketball_court,バスケットボールコート
toy_car,おもちゃの車
sanada_yukimura_(sengoku_basara),真田幸村(戦国BASARA)
bomber,爆撃機
mew_ichigo,ミューいちご
anne_bonny_(fate),アン・ボニー(Fate)
takakura_shouma,高倉翔馬
doppelganger,ドッペルゲンガー
miyazono_kawori,宮園かをり
white_sweater_vest,白のセーターベスト
gumroad_logo,Gumroadロゴ
public_masturbation,公衆での自慰行為
enlightened_byleth_(male),覚醒したベレト(男)
teaching,教える
rumi_(girls_und_panzer),ルミ(ガールズ＆パンツァー)
jakuri_(ar_tonelico),ジャクリ(アルトネリコ)
oleana_(pokemon),ジムリーダー・ネズ
kukui_(pokemon),ククイ博士
slingshot_(weapon),スリングショット(武器)
horizontal_bar,鉄棒
giratina_(origin),ギラティナ(オリジンフォルム)
sailor_pluto,セーラープルート
paprika_private_academy_school_uniform,パプリカ私立学園制服
fletcher_mk_ii_(kancolle),フレッチャー Mk.II(艦これ)
penis_milking,ペニス搾乳
handle,ハンドル
jack-o'-lantern_earrings,ジャック・オー・ランタンのイヤリング
tsuchiya_(girls_und_panzer),土屋(ガールズ＆パンツァー)
taxi,タクシー
arf,アーフ
kei_truck,軽トラック
aikawa_(dorohedoro),相川(ドロヘドロ)
multiple_thigh_straps,複数の太ももストラップ
payphone,公衆電話
kawazoe_tamaki,川添環
gununu_(meme),グヌヌ(ミーム)
izakaya,居酒屋
ear_flower,耳の花
maken-ki!,魔剣士!
schwarzesmarken,シュヴァルツェスマーケン
epilepsy_warning,てんかん注意
peplos,ペプロ
mob_face,モブ顔
taihou_(sweet_time_after_school)_(azur_lane),大鳳(放課後の甘い時間)(アズールレーン)
bachi,バチ
backwards_virgin_killer_sweater,逆さまのバージンキラーセーター
bottle_to_cheek,頬にボトル
metal_gear_solid_4:_guns_of_the_patriots,メタルギアソリッド4 ガンズ・オブ・ザ・パトリオット
hamster_ears,ハムスター耳
pink_tattoo,ピンクのタトゥー
rita_rossweisse_(umbral_rose),リタ・ロスヴァイス(陰鬱なる薔薇)
ben_bigger,ベン・ビガー
cobra_(animal),コブラ(動物)
memories_off,Memories Off
lee_(pgr),リー(PGR)
game_over,ゲームオーバー
zozotown,ZOZOTOWN
lila_decyrus,リラ・デサイラス
elie_macdowell,エリー・マクドウェル
price,価格
yagoo,YAGOO
snake_bondage,蛇縛り
liru,リル
hiryuu_kai_ni_(kancolle),飛龍改二(艦これ)
strap_break,ストラップ切れ
karin_(p&d),カリン(パズドラ)
rusty_trombone,錆びたトロンボーン
costume_chart,コスチュームチャート
c.c._lemon,C.C.レモン
drayton_(pokemon),ダンテ
messy_sleeper,寝ぐせ
aardwolf_(kemono_friends),サーバル(けものフレンズ)
biting_cheek,頬を噛む
mashiro_meme,真白メメ
transformers_animated,トランスフォーマー アニメイテッド
relationship_graph,関係図
maruruk,マールルク
land_(sousou_no_frieren),ランド(葬送のフリーレン)
ookami_mio_(hololive_summer_2019),大神ミオ(ホロライブ・サマー2019)
bunbunmaru,ぶんぶんまる
cerberus,ケルベロス
kageyama_tobio,影山飛雄
nipple_indents,乳首のへこみ
tapir,バク
uzumaki_himawari,うずまきヒマワリ
kasukabe_tsumugi,春日部つむぎ
tsuujou_kougeki_ga_zentai_kougeki_de_ni-kai_kougeki_no_okaasan_wa_suki_desu_ka?,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？
sessyoin_kiara_(lily),殺生院キアラ(リリィ)
other_with_male,男性との他
ranger_(ragnarok_online),レンジャー(ラグナロクオンライン)
extra_hands,余分な手
hiraga_saito,平賀才人
anzio_(emblem),アンツィオ(エンブレム)
purple_sister,パープルシスター
tales_of_asteria,テイルズ オブ アスタリア
hazuki_(tsukuyomi),葉月(月読)
lord_of_vermilion,ロード オブ ヴァーミリオン
snort,鼻を鳴らす
crazy_diamond,クレイジー・ダイヤモンド
sacred_heart,聖なる心
lace-trimmed_bow,レース飾りのリボン
head_under_skirt,スカートの下に頭
piers_nivans,ピアース・ニヴァン
hanami_kotoha,花見こと葉
mole_on_crotch,股のほくろ
ea_(fate),Ea(Fate)
photo_album,フォトアルバム
collar_tabs,襟章
torn_capelet,破れたケープレット
life_fiber,ライフ・ファイバー
key_in_head,頭に鍵
enderman,エンダーマン
dobermann_(arknights),ドーベルマン(アークナイツ)
paper_hat,紙の帽子
nargacuga_(armor),ナルガクルガ(防具)
polar_opposites,正反対
meika_mikoto,メイカミコト
ophelia_phamrsolone,オフェリア・ファームソロネ
vittorio_veneto_(azur_lane),ヴィットリオ・ヴェネト(アズールレーン)
ox_girl,牛娘
girl_staring_at_guy's_chest_(meme),女の子が男の胸を見つめる(ミーム)
pollux_(fate),ポルックス(Fate)
eiffel_tower,エッフェル塔
yaeno_muteki_(umamusume),八重野無敵(ウマ娘)
kagayaki_homare,かがやきほまれ
warabeda_meiji,童明路明治
sekishiro_mico,赤城みこ
mayu_(vocaloid),まゆ(ボーカロイド)
konoka_(blue_archive),コノハ(ブルーアーカイブ)
spheal,タマザラシ
calstone_light_o_(umamusume),カルストンライト(ウマ娘)
mademoiselle_crabaletta,マドモワゼル・クラバレッタ
ultra_instinct,身勝手の極意
agent_4_(splatoon),エージェント4(スプラトゥーン)
propaganda,プロパガンダ
kamen_rider_kuuga,仮面ライダー クウガ
maihama_ayumu,舞浜歩
corset_piercing,コルセットピアス
swimsuit_hanger,水着ハンガー
hassel_(pokemon),ハッサム
kazuma_asogi,風間アソギ
two-handed_sword,両手剣
cure_chocolat,キュアショコラ
juggling,ジャグリング
zooming_in,ズームイン
takagi_(tansuke),高木(たんすけ)
anabel_(pokemon),アザミ(ポケモン)
kurusugawa_himeko,来栖川ひめこ
wax,ワックス
album_name,アルバム名
himawari-san,ひまわりさん
destroyer_(girls'_frontline),駆逐艦(ドールズフロントライン)
masterwork_apocalypse,マスターワーク・アポカリプス
asmr,ASMR
brodie_helmet,ブロディヘルメット
scuba_gear,スキューバギア
musharna,ムシャーナ
tonguejob,フェラチオ
bread_bun,パンのバン
seahorse,タツノオトシゴ
zebra_ears,シマウマ耳
wednesday_addams,ウェンズデー・アダムス
mabel_pines,メイベル・パインズ
finger_gun_to_head,頭に指銃
bloody_marie_(skullgirls),ブラッディ・マリー(スカルガールズ)
hair_through_hood,フードを貫通する髪
knight_(hollow_knight),ナイト(ホロウナイト)
tool_belt,ツールベルト
shinomiya_karen,四ノ宮かれん
teemo,ティーモ
houkago_teibou_nisshi,放課後ていぼう日誌
x-men_film_series,X-MEN
hair_between_horns,角の間の髪
giant_snake,巨大な蛇
indianapolis_(azur_lane),インディアナポリス(アズールレーン)
yano_erika,矢野エリカ
green_helmet,緑のヘルメット
mary_(nikke),メアリー(ニケ)
luigi_di_savoia_duca_degli_abruzzi_(kancolle),ルイージ・ディ・サヴォイア・ドゥカ・デッリ・アブルッツィ(艦これ)
mouri_motonari_(sengoku_basara),毛利元就(戦国BASARA)
cure_aqua,キュアアクア
brief_(psg),ブリーフ(PSG)
scott_pilgrim,スコット・ピルグリム
clock_hands,時計の針
mighty_no._9,Mighty No. 9
akademiya_uniform,アカデミア制服
sitting_on_pillow,枕の上に座る
sasaki_ran,佐々木らん
chest_bow,胸のリボン
nikaido_chizuru,二階堂ちづる
reinhardt_(overwatch),ラインハルト(オーバーウォッチ)
frozen_frog,凍ったカエル
slime_boy,スライム少年
tamatsukuri_misumaru,玉造みすまる
vileplume,ドククラゲ
kana_(fire_emblem),カナ(ファイアーエムブレム)
dark_souls_ii,DARK SOULS II
ferdinand_von_aegir,フェルディナント・フォン・エギル
purple_buruma,紫のブルマ
indirect_kiss,間接キス
mitsurugi_meiya,御剣冥夜
homulilly,ホムリリィ
drainpipe,排水管
yor_briar_(cosplay),ヨル・ブライア(コスプレ)
toxtricity,ストリンダー
silver_bikini,シルバービキニ
yumekawa_yui,ゆめかわゆい
fossil,化石
shrine_bell,神社の鈴
mysterious_heroine_x_alter_(second_ascension)_(fate),謎のヒロインX〔オルタ〕(第二再臨)(Fate)
precis_neumann,プレシス・ノイマン
minimalism,ミニマリズム
see-through_bodysuit,シースルーボディスーツ
zapdos,サンダー
shishio_chris_(1st_costume),獅子王クリス(第一衣装)
shrek_(series),シュレック
volcarona,ウルガモス
robot_dragon,ロボットドラゴン
udin_(kureiji_ollie),ウーディン(くれいじーおーりー)
saito_nicole,斉藤ニコル
eva_00,エヴァ零号機
yuri_briar,ユーリ・ブライア
koisuru_asteroid,恋する小惑星
walkman,ウォークマン
feather-trimmed_jacket,羽飾りのジャケット
kendama,けん玉
height_mark,身長マーク
kearsarge_(azur_lane),ケラケラ(アズールレーン)
lurantis,ラランテス
pokemon_on_back,背中のポケモン
flannel,フランネル
hoshino_ai's_pose,星野アイのポーズ
anastasia_(swimsuit_archer)_(fate),アナスタシア(水着〔アーチャー〕)(Fate)
kintsuba_(shiranui_flare),きんつば(不知火フレア)
elbe_(azur_lane),エルベ(アズールレーン)
mina_(pokemon),ミヅキ(ポケモン)
scarle_yonaguni,スカーレット・ヨナグニ
microsoft,Microsoft
toki_kureha,時くれは
downpants,ダウンパンツ
kakyuusei_2,下級生2
ichininmae_no_lady,一人前のレディ
orgasm_denial,オーガズム拒否
mosquito_coil,蚊取り線香
chain_chomp,クリボー
lilia_vanrouge,リリア・ヴァンルージュ
leia_rolando,レイア・ロランド
shimoneta_to_iu_gainen_ga_sonzai_shinai_taikutsu_na_sekai,下ネタという概念が存在しない退屈な世界
yellow_eyeshadow,黄色のアイシャドウ
flaming_halo,炎の光輪
shiratama_mikan,白玉みかん
wolfgang_amadeus_mozart_(fate),ヴォルフガング・アマデウス・モーツァルト(Fate)
brazil,ブラジル
impossible_hair,ありえない髪
wardrobe,ワードローブ
umamusume:_beginning_of_a_new_era,ウマ娘 プリティーダービー
blue_slingshot_swimsuit,青いスリングショット水着
sonny_brisko,ソニー・ブリスコ
mushroom_hat,キノコ帽子
just_as_planned_(meme),計画通り(ミーム)
amamiya_elena,雨宮エレナ
kamen_rider_double,仮面ライダーW
shalon,シャロン
chousokabe_motochika_(sengoku_basara),長宗我部元親(戦国BASARA)
grim_reaper,グリムリーパー
spoken_emoji,話す絵文字
purple_shawl,紫のショール
sex_ed,性教育
aoshidan_school_uniform,青短制服
krul_tepes,クルル・ツェペシ
hand_on_another's_wrist,相手の手首に手を置く
ponpoko_(vtuber),ぽんぽこ(VTuber)
goblin_slayer,ゴブリンスレイヤー
u-1146,U-1146
henrietta_de_tristain,ヘンリエッタ・ド・トリスタン
lucifer_(shingeki_no_bahamut),ルシファー(神撃のバハムート)
seisenshi_dunbine,聖戦士ダンバイン
mc_axis,MC AXIS
young_zelda,ゼルダ(幼少期)
mori_yuki,森ユキ
half-heart_hands,半分ハートの手
ok_sign_over_eye,目の上にOKサイン
takanashi_souta,小鳥遊そうた
kimeemaru,きめぇ丸
kamen_rider_decade,仮面ライダーディケイド
shiodome_miuna,汐留みうな
kidouko_(zakusi),軌道子(ざくし)
dragon's_dogma_(series),ドラゴンズドグマ
polka_dot_scarf,水玉スカーフ
human_chair,人間の椅子
mitty_(made_in_abyss),ミティ(メイドインアビス)
pony_play,ポニープレイ
nakiri_alice,薙切アリス
tackle,タックル
mac-10/11,MAC-10/11
poison_ivy,ポイズン・アイビー
fatigues,作業服
ole_tower,オレタワー
iris_(konosuba),アイリス(このすば)
crotchless_leotard,クロッチレスレオタード
carmen_(project_moon),カルメン(プロジェクト・ムーン)
octagram,八芒星
harukaze_doremi,春風どれみ
closure_(arknights),クロージャー(アークナイツ)
astra_militarum,アストラ・ミリタルム
fletchling,コフキモドキ
sekai_(cevio),歌愛ユキ(CeVIO)
titania_(sao),ティターニア(SAO)
samsung,Samsung
mash_kyrielight_(cosplay),マシュ・キリエライト(コスプレ)
kiyohime_(swimsuit_lancer)_(first_ascension)_(fate),清姫(水着〔ランサー〕)(第一再臨)(Fate)
hair_half_undone,髪が半分ほどけている
taisa_(cookie),たいさ(Cookie)
shield_print,盾のプリント
corrupted_file,破損ファイル
thanatos_(hades),タナトス(ハデス)
blush_visible_through_hair,髪の間から見える赤面
alcryst_(fire_emblem),アルスト(ファイアーエムブレム)
meguru_(cookie),めぐる(Cookie)
skinny_dipping,裸で泳ぐ
mato_seihei_no_slave,マッシュル
dainsleif_(genshin_impact),ダインスレイヴ(原神)
asymmetrical_dress,アシンメトリーなドレス
formula_one,フォーミュラ1
multicolored_sleeves,多色の袖
table_tennis_ball,卓球のボール
jet_airliner,ジェット旅客機
murasaki_(senran_kagura),紫(閃乱カグラ)
takane_(blue_archive),タカネ(ブルーアーカイブ)
ainz_ooal_gown,アインズ・ウール・ゴウン
3d_glasses,3Dメガネ
humming,ハミング
large-spotted_genet_(kemono_friends),ビロードキンクジュ(けものフレンズ)
little_blue_whale_(kancolle),コビトスイギュウ(艦これ)
swallow_(bird),ツバメ(鳥)
t-back,Tバック
komekko,米粉(異世界かるてっと)
streetcar,路面電車
tail_flower,尻尾の花
impressionism,印象派
akishimo_(kancolle),秋霜(艦これ)
zarya_(overwatch),ザリア(オーバーウォッチ)
tatsuta_kai_ni_(kancolle),龍田改二(艦これ)
leather_skirt,レザースカート
ikebukuro_akiha,池袋アキハ
pointing_sword,剣を指す
ceiling_fan,天井扇
risu_(dorohedoro),リス(ドロヘドロ)
jack_daniel's,ジャックダニエル
nekki_basara,根岸バサラ
mickey_mouse_ears,ミッキーマウス耳
pantyhose_around_one_leg,片足にパンティーストッキング
fujiwara_no_mokou_(young),藤原の妹(幼少期)
tetris,テトリス
holding_lead_pipe,鉛管を持つ
null-meta,null-meta
hand_to_forehead,額に手を当てる
on_flower,花の上
porsche,ポルシェ
aesc_(rain_witch)_(fate),アイエス(雨の魔女)(Fate)
pink_shawl,ピンクのショール
marle_(chrono_trigger),マール(クロノ・トリガー)
slav_squatting,スラヴスクワット
heroine_(dq3),主人公(DQ3)
elfilin,エルフィリン
mahjong_table,麻雀卓
vera_(pgr),ヴェラ(パニシング：グレイレイヴン)
steelix,ハガネール
heavy_metal,ヘヴィメタル
umapyoi_densetsu,うまぴょい伝説
blue_reflection_(series),BLUE REFLECTION
misaki_akeno,岬あけの
searching,探す
red_riding_hood_(sinoalice),赤ずきん(シノアリス)
shalltear_bloodfallen,シャルティア・ブラッドフォールン
chain_earrings,チェーンイヤリング
cigarette_butt,タバコの吸い殻
bewear,キテルグマ
pornhub,Pornhub
hand_in_pants,パンツの中の手
shigure_(azur_lane),時雨(アズールレーン)
mogador_(kancolle),モガドール(艦これ)
summon_night_2,サモンナイト2
gii,ギイ
majutsushi_orphen,魔術士オーフェン
holding_case,ケースを持つ
i_heart...,I ♥...
suzuki_(girls_und_panzer),鈴木(ガールズ＆パンツァー)
shinomiya_runa,四ノ宮ルナ
sig_(puyopuyo),シグ(ぷよぷよ)
holding_chess_piece,チェスの駒を持つ
roll.exe_(mega_man),ロール.EXE(ロックマン)
rindou_mikoto_(1st_costume),竜胆みこと(第一衣装)
embroidered_bra,刺繍ブラ
gepard_landau,ゲパルト・ランドー
black_pajamas,黒のパジャマ
sleeveless_turtleneck_dress,ノースリーブタートルネックドレス
akebono_kai_ni_(kancolle),曙改二(艦これ)
kamen_rider_ex-aid_(series),仮面ライダーエグゼイド
shihakusho,死覇装
kfp_employee_(takanashi_kiara),KFP従業員(たかなしきあら)
aoqun,青裙
biting_head,頭を噛む
girls_und_panzer_little_army,ガールズ＆パンツァー リトルアーミー
scaffolding,足場
ragnarok_masters,ラグナロクマスターズ
debidebi_debiru,デビデビ・デビル
moetan,もえたん
houkago_play,放課後プレイ
guilty_gear_x,GUILTY GEAR XX
bullet_(blazblue),ブレット(ブレイブルー)
dazai_osamu_(bungou_stray_dogs),太宰治(文豪ストレイドッグス)
rabbit_ornament,うさぎの飾り
wonder_woman_(series),ワンダーウーマン
matsumi_kuro,松見クロ
amagase_touma,天ヶ瀬透馬
crimvael,クリムヴェール
hyakka_ryouran_samurai_girls,百花繚乱 SAMURAI GIRLS
judd_(splatoon),アタリメ(スプラトゥーン)
metera_(granblue_fantasy),メーテラ(グランブルーファンタジー)
leblanc_(league_of_legends),ルブラン(リーグ・オブ・レジェンド)
tokyo_mirage_sessions_fe,東京幻境セッション
cross-laced_shorts,クロスレースアップショーツ
formula_racer,フォーミュラレーサー
shiba_miyuki,柴みゆき
mandibles,顎(昆虫などの)
ass_freckles,お尻のそばかす
applying_manicure,マニキュアを塗る
haxorus,キリキザン
panette_(fire_emblem),パネテ(ファイアーエムブレム)
holding_hand_grip,ハンドグリップを持つ
red_garter_straps,赤いガーターストラップ
on_cloud,雲の上
snow_white_(nikke),スノーホワイト(ニケ)
unworn_armor,未着用鎧
myoukou_kai_ni_(kancolle),妙高改二(艦これ)
model,モデル
kao_no_nai_tsuki,顔のない月
isayama_yomi,諌山黄泉
everlasting_summer,Everlasting Summer
louise_(touhou),ルーイズ(東方)
decantering,デキャンター
hisau_maiya,久住まいや
soulcalibur_vi,ソウルキャリバーVI
vanillite,バニプッチ
riding_dragon,ドラゴンに乗る
hisaishi_kanade,久石奏
musha_miko_tomoe,武者巫女トモエ
98-tan,98式ちゃん
kamen_rider_kabuto_(series),仮面ライダーカブト
matsubara_kaoru,松原薫
yuki_miku_(2017),雪ミク(2017)
otonose_kanade_(1st_costume),音瀬奏(第一衣装)
2003,2003年
long_nipples,長い乳首
gradient_necktie,グラデーションネクタイ
dog_print,犬のプリント
tape_maebari,テープ前張り
cat-shaped_pillow,猫型枕
saikin_yatotta_maid_ga_ayashii,最近雇ったメイドが怪しい
rokubanchou_school_uniform,六番町制服
stopwatch_around_neck,首にストップウォッチ
ayla_(chrono_trigger),エイラ(クロノ・トリガー)
height_conscious,身長を意識する
red_stripes,赤のストライプ
chiester410,チエスター410
single_half_glove,片手片方手袋
vhs_artifacts,VHSアーティファクト
rimuru_tempest_(slime),リムル＝テンペスト(転生したらスライムだった件)
ohisashiburi_(style),お久しぶり(スタイル)
blood+,BLOOD+
phantasmagoria_of_flower_view,東方花映塚
kotona_elegance,琴音エレガンス
black_sun,黒い太陽
jabuchi_you,蛇淵陽
tit_(bird),シジュウカラ(鳥)
tao_blu_(splatoon),タオブルー(スプラトゥーン)
yumeoi_kakeru,ゆめおいかけ
bakuon!!,ばくおん!!
firion,フリオニール
alakazam,フーディン
dendra_(pokemon),デンドリ(ポケモン)
takamachi_nanoha_(movie_1st_mode),高町なのは(劇場版1stモード)
flat_chest_joke,貧乳ジョーク
eargasm,イヤーガズム
anubis_(mythology),アヌビス(神話)
fleki,フレキ
ribbed_cardigan,リブ編みカーディガン
momoka_(blue_archive),モモカ(ブルーアーカイブ)
kirino_(swimsuit)_(blue_archive),キリノ(水着)(ブルーアーカイブ)
imminent_death,差し迫った死
bardiche_(assault_form)_(nanoha),バルディッシュ(アサルトフォーム)(なのは)
okumura_yukio,奥村雪男
crossed_fingers,指をクロス
kagami_taiga,加賀美タイガ
chaos_emerald,カオスエメラルド
brown_headband,茶色のヘッドバンド
instant_soba,インスタントそば
plate_stack,皿の山
ears_through_hood,フードを貫通する耳
plaid_socks,チェック柄の靴下
mizura,みづら
hachijou_(kancolle),八条(艦これ)
gascogne_(azur_lane),ガスコーニュ(アズールレーン)
rose_(street_fighter),ローズ(ストリートファイター)
lady_yu_doll,レディ・ユ人形
dottore_(genshin_impact),ドトール(原神)
peach_hair_ornament,桃の髪飾り
armored_legwear,鎧のレッグウェア
hyakko,百々
curly_brace,カーリーブレイス
piercing_through_clothes,服を貫通する
futami_eriko,二見エリコ
jacket_tug,ジャケットを引っ張る
kurosaki_mea,黒崎メア
thick_neck,太い首
toy_gun,おもちゃの銃
yuki_miku_(2014),雪ミク(2014)
youko_(girls_und_panzer),陽子(ガールズ＆パンツァー)
vs_seeker,VSシーカー
nyatasha_nyanners,ニャターシャ・ニャンナーズ
saw_cleaver,サークリーバー
robin_(female)_(seaside_tactician)_(fire_emblem),ロビン(♀)(海辺の戦術家)(ファイアーエムブレム)
grandmother_and_grandson,祖母と孫
unicorn_girl,ユニコーン娘
red_(among_us),赤(アマングアス)
tifa_lockhart_(cosplay),ティファ・ロックハート(コスプレ)
bisected,二等分された
k'_(kof),K'(KOF)
oruyanke_(shirakami_fubuki),おるやんけ(白上フブキ)
svd_(girls'_frontline),SVD(ドールズフロントライン)
kissing_object,物にキス
goku_black,ゴクウブラック
cleaning_brush,掃除用ブラシ
100_percent_orange_juice,100%オレンジジュース
shin_getter_robo,真ゲッターロボ
sitonai_(fate),シトナイ(Fate)
minneapolis_(azur_lane),ミネアポリス(アズールレーン)
sakura_hibiki,桜ひびき
husky,ハスキー
nt-d,NT-D
spike_ball,スパイクボール
gold_nails,金の爪
tang_sanzang,玄奘三蔵
hololive_alternative,ホロライブ・オルタナティブ
kanokon,かのこん
ame_to_kimi_to,雨と君と
yin_yang_hair_ornament,陰陽髪飾り
super_sailor_chibi_moon,スーパーセーラーちびムーン
uno_(game),UNO(ゲーム)
frilled_coat,フリル付きコート
i-400_(kancolle),伊400(艦これ)
meatball,ミートボール
holding_spork,スポークを持つ
a-pose,Aポーズ
inu_sakuya_(nejikirio),犬咲夜(ねじきりお)
judy_hopps,ジュディ・ホップス
applying_sunscreen,日焼け止めを塗る
photon_ray_(fate),フォトンレイ(Fate)
psd_available,PSDファイルあり
undone_bowtie,ほどけた蝶ネクタイ
black_gold_saw,ブラック★ロックシューター
kohibari_kurumi,小日向くるみ
akershus_fortress_(oshiro_project),アケシュフォートレス(お城プロジェクト)
aoba_kokona,青葉こころ
severa_(fire_emblem),セベク(ファイアーエムブレム)
matsuda_arisa,松田ありさ
vertical-striped_scarf,縦縞スカーフ
mega_man_2,ロックマン2
io_(granblue_fantasy),イオ(グランブルーファンタジー)
human_tower,人間の塔
kagune_(tokyo_ghoul),赫子(東京喰種)
scuba,スキューバ
rio_rollins,リオ・ロリンズ
lid,蓋
kousetsu_samonji,向雪左文字
bluebird,ブルーバード
